NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
How many of the patients with gangrene as their primary disease received drug via TD route?,SELECT count(DISTINCT T2.HADM_ID) FROM prescriptions AS T1 JOIN diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.route  =  'TD' AND T2.short_title  =  'Gangrene',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""GANGRENE"" AND PRESCRIPTIONS.""ROUTE"" = ""TD""","[(0,)]","[(0,)]"
what is the number of patients less than 86 years who underwent other small intestine endoscopy procedure? ,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.AGE  <  86 AND T2.ICD9_CODE  =  '453',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""86"" AND PROCEDURES.""SHORT_TITLE"" = ""Sm bowel endoscopy NEC""","[(0,)]","[(1,)]"
how many patients have stayed in the hospital for more than 3 days?,SELECT count(*) FROM Demographic WHERE DAYS_STAY  >  3,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""3""","[(74,)]","[(74,)]"
"calculate the number of patients having unspecified migraine unspecified, without mention of intractable migraine and status migrainosus, who had abnormal lab test results. ",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'unspecified' AND T2.ICD9_CODE  =  'migraine' AND T2.ICD9_CODE  !=  'intractable' AND T2.ICD9_CODE  !=  'migrainous' AND T3.FLAG  =  'abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"" AND LAB.""FLAG"" = ""delta""","[(0,)]","[(0,)]"
tell  me the diagnoses icd9 code and type of admission for the patient with patient id 28588.,"SELECT T2.ICD9_CODE ,  T1.ADMISSION_TYPE FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.SUBJECT_ID  =  28588 ","SELECT DEMOGRAPHIC.""ADMISSION_TYPE"",DIAGNOSES.""ICD9_CODE"" FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""28588""","[('2449', 'EMERGENCY'), ('25000', 'EMERGENCY'), ('2768', 'EMERGENCY'), ('2948', 'EMERGENCY'), ('30000', 'EMERGENCY'), ('311', 'EMERGENCY'), ('34590', 'EMERGENCY'), ('4019', 'EMERGENCY'), ('41401', 'EMERGENCY'), ('41519', 'EMERGENCY'), ('4260', 'EMERGENCY'), ('42731', 'EMERGENCY'), ('486', 'EMERGENCY'), ('496', 'EMERGENCY'), ('5849', 'EMERGENCY'), ('78820', 'EMERGENCY'), ('9975', 'EMERGENCY'), ('V5861', 'EMERGENCY')]","[('EMERGENCY', '2449'), ('EMERGENCY', '25000'), ('EMERGENCY', '2768'), ('EMERGENCY', '2948'), ('EMERGENCY', '30000'), ('EMERGENCY', '311'), ('EMERGENCY', '34590'), ('EMERGENCY', '4019'), ('EMERGENCY', '41401'), ('EMERGENCY', '41519'), ('EMERGENCY', '4260'), ('EMERGENCY', '42731'), ('EMERGENCY', '486'), ('EMERGENCY', '496'), ('EMERGENCY', '5849'), ('EMERGENCY', '78820'), ('EMERGENCY', '9975'), ('EMERGENCY', 'V5861')]"
Calculate the maximum age of patients admitted to emergency in or after the year 2174.,SELECT max(AGE) FROM Demographic WHERE ADMITTIME  >=  '2174-01-01',"SELECT MAX ( DEMOGRAPHIC.""AGE"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND DEMOGRAPHIC.""ADMITYEAR"" >= ""2174""","[(89,)]","[(89,)]"
find the number of patients who had blood fluid lab test and had diagnoses icd9 code 29281.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Diagnoses AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ITEMID  =  'Blood fluid' AND T3.ICD9_CODE  =  29281,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""ICD9_CODE"" = ""29281"" AND LAB.""FLUID"" = ""Blood""","[(0,)]","[(1,)]"
what is the number of elective hospital admission patients who have procedure icd9 code 4611?,SELECT count(DISTINCT T1.HADM_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  4611,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""ELECTIVE"" AND PROCEDURES.""ICD9_CODE"" = ""4611""","[(1,)]","[(0,)]"
find the number of patients categorized under chemistry lab test who had diagnoses icd9 code 6824.,SELECT count(DISTINCT T1.subject_id) FROM lab AS T1 JOIN diagnoses AS T2 ON T1.subject_id  =  T2.subject_id AND T1.hadm_id  =  T2.hadm_id WHERE T1.itemid  =  'chemistry lab test' AND T2.icd9_code  =  6824,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""ICD9_CODE"" = ""6824"" AND LAB.""CATEGORY"" = ""Chemistry""","[(0,)]","[(1,)]"
find the number of patients taking drug via sl route who have been diagnosed with benign neoplasm of spinal meninges.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Diagnoses AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ROUTE  =  'sl' AND T3.ICD9_CODE  =  'benign neoplasm of spinal meninges',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Benign neoplasm of spinal meninges"" AND PRESCRIPTIONS.""ROUTE"" = ""SL""","[(0,)]","[(0,)]"
specify the admission location of subject name edward schafer.,SELECT ADMISSION_LOCATION FROM Demographic WHERE NAME  =  'edward schafer',"SELECT DEMOGRAPHIC.""ADMISSION_LOCATION"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Edward Schafer""",[],"[('EMERGENCY ROOM ADMIT',)]"
find the maximum days of hospital stay for patients admitted in or after the year 2182.,SELECT max(DAYS_STAY) FROM Demographic WHERE ADMITTIME  >=  2182,"SELECT MAX ( DEMOGRAPHIC.""DAYS_STAY"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMITYEAR"" >= ""2182""","[(27,)]","[(27,)]"
What number of patients who were diagnosed under diagnoses icd9 code 42613 had a lab test category of hamatology?,"SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  42613 AND T3.CATEGORY  =  ""hamatology""","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""ICD9_CODE"" = ""42613"" AND LAB.""CATEGORY"" = ""Hematology""","[(0,)]","[(1,)]"
What is the total number of alzheimer's disease patients insured by the government?,SELECT count(*) FROM Demographic WHERE INSURANCE  =  'government' AND DIAGNOSIS  =  'Alzheimer''s disease',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""INSURANCE"" = ""Government"" AND DIAGNOSES.""LONG_TITLE"" = ""Alzheimer's disease""","[(0,)]","[(0,)]"
how many patients are diagnosed with primary disease squamous cell carcinoma oral tongue/sda and born before 2170?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOB_YEAR  <  2170 AND T2.ICD9_CODE  =  'squamous cell carcinoma oral tongue/sda',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""SQUAMOUS CELL CARCINOMA ORAL TONGUE/SDA"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2170""","[(0,)]","[(1,)]"
how many living patients have procedure icd9 code 540?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  540,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND PROCEDURES.""ICD9_CODE"" = ""540""","[(1,)]","[(1,)]"
what number of patients had the procedure named opn mitral valvuloplasty and were discharged from home health care?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'home health care' AND T2.LONG_TITLE  =  'opn mitral valvuloplasty',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DISCHARGE_LOCATION"" = ""HOME HEALTH CARE"" AND PROCEDURES.""SHORT_TITLE"" = ""Opn mitral valvuloplasty""","[(0,)]","[(0,)]"
give me the number of jewish patients who were admitted to hospital before the year 2145.,SELECT count(*) FROM Demographic WHERE ETHNICITY  =  'Jewish' AND ADMITTIME  <  2145,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""RELIGION"" = ""JEWISH"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2145""","[(0,)]","[(2,)]"
what is the gender and insurance of subject id 81923?,"SELECT GENDER ,  INSURANCE FROM Demographic WHERE SUBJECT_ID  =  81923","SELECT DEMOGRAPHIC.""GENDER"",DEMOGRAPHIC.""INSURANCE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""81923""","[('M', 'Medicaid')]","[('M', 'Medicaid')]"
Specify the maximum age of patients who were admitted to the hospital in or after the year 2187 and stayed for 34 days,SELECT max(AGE) FROM Demographic WHERE ADMITTIME  >=  '2187-01-01' AND DAYS_STAY  =  34,"SELECT MAX ( DEMOGRAPHIC.""AGE"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DAYS_STAY"" = ""34"" AND DEMOGRAPHIC.""ADMITYEAR"" >= ""2187""","[(None,)]","[(None,)]"
find the number of patients whose diagnoses short title is crbl art ocl nos w infrc and lab test result is abnormal.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.SHORT_TITLE  =  'crbl art ocl nos w infrc' AND T3.VALUE_UNIT  =  'abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Crbl art ocl NOS w infrc"" AND LAB.""FLAG"" = ""abnormal""","[(0,)]","[(2,)]"
Find the number of elective hospital admission patients who have a famvir drug prescription.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.DRUG  =  'famvir',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""ELECTIVE"" AND PRESCRIPTIONS.""DRUG"" = ""Famvir""","[(0,)]","[(0,)]"
calculate the number of patients aged below 86 who had an infusion of vasopressor,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.AGE  <  86 AND T2.ITEMID  =  'vasopressor',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""86"" AND PROCEDURES.""SHORT_TITLE"" = ""Infusion of vasopressor""","[(0,)]","[(3,)]"
"find how many patients had admission location as clinic referral/premature and primary disease as sigmoid diverticulitis, colovestical fistula/sda.",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ADMISSION_LOCATION  =  'clinic referral/premature' AND T2.LONG_TITLE  =  'sigmoid diverticulitis' OR T2.LONG_TITLE  =  'colovestical fistula/sda',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""CLINIC REFERRAL/PREMATURE"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""SIGMOID DIVERTICULITIS, COLOVESTICAL FISTULA/SDA""","[(0,)]","[(0,)]"
"Out of total number of patients, how many of the newborn (as primary disease) had icd9 code 5361",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  5361,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""NEWBORN"" AND PROCEDURES.""ICD9_CODE"" = ""5361""","[(0,)]","[(0,)]"
calculate the number of patients born in the year less than 2197 and had neutropenia nos,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOB_YEAR  <  2197 AND T2.ICD9_CODE  =  'neutropenia nos',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""DOB_YEAR"" < ""2197"" AND DIAGNOSES.""SHORT_TITLE"" = ""Neutropenia NOS""","[(0,)]","[(1,)]"
"Among patients admitted before the year 2176, how many had squamous cell carcinoma oral tongue (sda) as their primary disease?",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMITTIME  <  2176 AND T2.ICD9_CODE  =  'squamous cell carcinoma oral tongue (sda)',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""SQUAMOUS CELL CARCINOMA ORAL TONGUE/SDA"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2176""","[(0,)]","[(1,)]"
find out the minimum age of urgent hospital admission patients who were born after 2089.,SELECT min(AGE) FROM Demographic WHERE DOB_YEAR  >  2089,"SELECT MIN ( DEMOGRAPHIC.""AGE"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""URGENT"" AND DEMOGRAPHIC.""DOB_YEAR"" > ""2089""","[(0,)]","[(None,)]"
What is the admission location and number of days of hospital stay for subject id 55094?,"SELECT ADMISSION_LOCATION ,  DAYS_STAY FROM Demographic WHERE SUBJECT_ID  =  55094","SELECT DEMOGRAPHIC.""DAYS_STAY"",DEMOGRAPHIC.""ADMISSION_LOCATION"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""55094""","[('CLINIC REFERRAL/PREMATURE', 23)]","[(23, 'CLINIC REFERRAL/PREMATURE')]"
How many patients with item id 51438 were married?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Lab AS T1 JOIN Demographic AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ITEMID  =  51438 AND T2.MARITAL_STATUS  =  'married',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND LAB.""ITEMID"" = ""51438""","[(0,)]","[(1,)]"
how many patients admitted before the year 2177 had implant of pulsation balloon?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ADMITTIME  <  2177 AND T2.ITEMID  =  'Implant of pulsation balloon',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMITYEAR"" < ""2177"" AND PROCEDURES.""LONG_TITLE"" = ""Implant of pulsation balloon""","[(0,)]","[(3,)]"
how many female patients had joint replaced knee?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.GENDER  =  'female' AND T2.ICD9_CODE  =  'joint replaced knee',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND DIAGNOSES.""SHORT_TITLE"" = ""Joint replaced knee""","[(0,)]","[(0,)]"
Find the number of patients who have undergone the procedure called infusion of vasopressor agent that have english as their preferred language.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.LANGUAGE  =  'english' AND T2.ICD9_CODE  =  'infusion of vasopressor agent',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""LANGUAGE"" = ""ENGL"" AND PROCEDURES.""LONG_TITLE"" = ""Infusion of vasopressor agent""","[(0,)]","[(1,)]"
count the number of patients with lab test item id 50801.,SELECT count(DISTINCT Demographic.SUBJECT_ID) FROM Demographic JOIN Lab ON Demographic.HADM_ID = Lab.HADM_ID WHERE Lab.ITEMID  =  50801,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""ITEMID"" = ""50801""","[(9,)]","[(9,)]"
how many divorced patients have celo-vessicle fistula primary disease?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'divorced' AND T2.SHORT_TITLE  =  'celo-vessicle fistula',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""DIVORCED"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""CELO-VESSICLE FISTULA""","[(0,)]","[(1,)]"
what number of patients with whose lab test result is abnormal had the diagnoses titled ocl crtd art wo infrct?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Diagnoses AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.FLAG  =  'abnormal' AND T3.SHORT_TITLE  =  'ocl crtd art wo infrct',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Ocl crtd art wo infrct"" AND LAB.""FLAG"" = ""abnormal""","[(0,)]","[(1,)]"
how many patients are with admission type urgent and with procedure spinal tap?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'urgent' AND T2.ICD9_CODE  =  'spinal tap',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""URGENT"" AND PROCEDURES.""SHORT_TITLE"" = ""Spinal tap""","[(0,)]","[(0,)]"
how many patients who stayed in the hospital for one or more than one day(s) were given tramadol?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DAYS_STAY  >  1 AND T2.DRUG  =  'tramadol',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""0"" AND PRESCRIPTIONS.""DRUG"" = ""traMADOL""","[(0,)]","[(1,)]"
count the number of patients whose primary disease is ruq pain and who have died in or before the year 2164.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD_YEAR  <=  2164 AND T2.ICD9_CODE  =  'ruq pain',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""RUQ PAIN"" AND DEMOGRAPHIC.""DOD_YEAR"" <= ""2164.0""","[(0,)]","[(1,)]"
what is the average age of married patients who are of 43 years of age or more?,SELECT avg(AGE) FROM Demographic WHERE AGE  >=  43 AND MARITAL_STATUS  =  'married',"SELECT AVG ( DEMOGRAPHIC.""AGE"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND DEMOGRAPHIC.""AGE"" >= ""43""","[(None,)]","[(64.31428571428572,)]"
Provide the number of american indian/alaska native ethnic background patients who had a pco2 lab test.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ETHNICITY  =  'American Indian/Alaska Native' AND T2.ITEMID  =  'pco2',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""AMERICAN INDIAN/ALASKA NATIVE"" AND LAB.""LABEL"" = ""pCO2""","[(0,)]","[(0,)]"
How many female patients are diagnosed with ulcer of heel & mid foot?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  'female' AND T2.ICD9_CODE  =  'ulcer of heel & mid foot',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND DIAGNOSES.""SHORT_TITLE"" = ""Ulcer of heel & midfoot""","[(0,)]","[(1,)]"
