,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
69,Find all airlines that have flights from airport 'CVO' but not from 'APG'.,SELECT Airline FROM flights WHERE SourceAirport  =  'CVO' EXCEPT SELECT Airline FROM flights WHERE SourceAirport  =  'APG',"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO"" EXCEPT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG""",flight_2
70,What are the names of players who won in both 2013 and 2016?,"SELECT first_name ,  last_name FROM players JOIN matches ON winner_id  =  player_id WHERE year  =  2013 INTERSECT SELECT first_name ,  last_name FROM players JOIN matches ON winner_id  =  player_id WHERE year  =  2016",SELECT winner_name FROM matches WHERE YEAR  =  2013 INTERSECT SELECT winner_name FROM matches WHERE YEAR  =  2016,wta_1
71,What is the first name and gender of the all the students who have more than one pet?,"SELECT T1.Fname ,  T1.Sex FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T2.StuID HAVING count(*)  >  1","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",pets_1
72,What is the birth date of the poker player with the lowest earnings?,SELECT T1.Birth_Date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Earnings  =  (SELECT min(Earnings) FROM poker_player),SELECT T1.Birth_Date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Earnings ASC LIMIT 1,poker_player
73,What is the most common singer citizenship ?,SELECT Citizenship FROM singer GROUP BY Citizenship ORDER BY count(*) DESC LIMIT 1,select citizenship from singer group by citizenship order by count(*) desc limit 1,singer
74,Count the number of employees for each city.,"SELECT City ,  COUNT(*) FROM employee GROUP BY City","SELECT count(*) ,  city FROM employee GROUP BY city",employee_hire_evaluation
75,How many different series and contents are listed in the TV Channel table?,"SELECT DISTINCT series_name ,  Content FROM TV_Channel","SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;",tvshow
76,Give the total population and average surface area corresponding to countries in North America that have a surface area greater than 3000 .,"SELECT SUM(Population) ,  avg(SurfaceArea) FROM country WHERE Region  =  'North America' AND SurfaceArea  >  3000","select sum(population) ,  avg(surfacearea) from country where continent  =  ""north america"" and surfacearea  >  3000",world_1
77,What are the name of the countries where there is not a single car maker?,SELECT T1.CountryName FROM countries AS T1 WHERE NOT EXISTS (SELECT * FROM car_makers AS T2 WHERE T2.Country  =  T1.CountryId),SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,car_1
78,Which airlines have a flight with source airport AHD?,SELECT Airline FROM flights WHERE SourceAirport  =  'AHD',"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""AHD""",flight_2
79,"List all airline names and their abbreviations in ""USA"".","SELECT DISTINCT Airline, Abbreviation FROM airlines WHERE uid IN (SELECT DISTINCT Airline FROM flights WHERE SourceAirport IN (SELECT AirportCode FROM airports WHERE Country = 'USA') OR DestAirport IN (SELECT AirportCode FROM airports WHERE Country = 'USA'))","SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""",flight_2
80,What is the average edispl for all volvos?,SELECT avg(Edispl) FROM cars_data WHERE Make  =  'volvo',SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,car_1
81,What are the package options and the name of the series for the TV Channel that supports high definition TV?,"SELECT Package_Option ,  series_name FROM TV_Channel AS T1 JOIN TV_series AS T2 ON T1.id  =  T2.Channel WHERE T1.High_definition_TV  =  1","SELECT package_option ,  series_name FROM TV_Channel WHERE hight_definition_TV  =  ""yes""",tvshow
82,"Find the name and membership level of the visitors whose membership level is higher than 4, and sort by their age from old to young.","SELECT name ,  Level_of_membership FROM visitor WHERE Level_of_membership  >  4 ORDER BY age DESC","SELECT name ,  Level_of_membership FROM visitor WHERE Level_of_membership  >  4 ORDER BY age DESC",museum_visit
83,Return the money rank of the poker player with the greatest height.,SELECT T1.Money_Rank FROM poker_player AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Height DESC LIMIT 1,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Height DESC LIMIT 1,poker_player
84,What is the average GNP and total population in all nations whose government is US territory?,"SELECT avg(GNP) ,  sum(Population) FROM country WHERE GovernmentForm  =  'US'","SELECT avg(GNP) ,  sum(population) FROM country WHERE GovernmentForm  =  ""US Territory""",world_1
85,Show names of teachers and the courses they are arranged to teach in ascending alphabetical order of the teacher's name.,"SELECT T1.Name ,  T2.Course FROM teacher AS T1 JOIN course_arrange AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID ORDER BY T1.Name","SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID ORDER BY T3.Name",course_teach
86,What is the model for the car with a weight smaller than the average?,SELECT Model FROM car_names WHERE Model IN (SELECT Model FROM car_names WHERE Weight  <  (SELECT avg(Weight) FROM cars_data)),SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),car_1
87,Show different citizenships and the maximum net worth of singers of each citizenship.,"SELECT Citizenship ,  max(Net_Worth_Millions) FROM singer GROUP BY Citizenship","SELECT Citizenship ,  max(Net_Worth_Millions) FROM singer GROUP BY Citizenship",singer
88,Which owner has paid for the most treatments on his or her dogs? List the owner id and last name.,"SELECT T1.owner_id ,  T1.last_name FROM Owners AS T1 JOIN Treatments AS T2 ON T1.owner_id  =  T2.owner_id GROUP BY T1.owner_id ,  T1.last_name ORDER BY sum(T2.cost_of_treatment) DESC LIMIT 1","SELECT T1.owner_id ,  T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id JOIN Treatments AS T3 ON T2.dog_id  =  T3.dog_id GROUP BY T1.owner_id ORDER BY count(*) DESC LIMIT 1",dog_kennels
89,Return the number of flights arriving in Aberdeen.,SELECT count(FlightNo) FROM flights AS T1 JOIN airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.AirportName  =  'Aberdeen',"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",flight_2
90,"What is the first, middle, and last name of the earliest school graduate?","SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1 #### PostgreSQL SQL QUERY SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1 #### PostgreSQL FIXED SQL QUERY SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1 #### Oracle SQL QUERY SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC FETCH FIRST 1 ROWS ONLY #### Oracle FIXED SQL QUERY SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC FETCH FIRST 1 ROWS ONLY #### MySQL SQL QUERY SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1 #### MySQL FIXED SQL QUERY SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC LIMIT 1 #### SQL Server SQL QUERY SELECT TOP 1 first_name ,  middle_name ,  last_name FROM Students ORDER BY date_first_registered ASC #### SQL Server FIXED SQL QUERY SELECT TOP 1 first_name ,  middle_name ,  last_name","SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1",student_transcripts_tracking
91,What is the maximum accelerate for all the different cylinders?,SELECT max(Accelerate) FROM cars_data WHERE Cylinders IN (SELECT DISTINCT Cylinders FROM cars_data GROUP BY Cylinders),"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;",car_1
92,List each charge type and its amount.,"SELECT charge_type ,  charge_amount FROM Charges","SELECT charge_type ,  charge_amount FROM Charges",dog_kennels
93,Count the number of documents that use the PPT template type.,SELECT count(Document_ID) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID JOIN Ref_Template_Types AS T3 ON T2.Template_Type_Code  =  T3.Template_Type_Code WHERE T2.Template_Type_Code  =  'PPT',SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',cre_Doc_Template_Mgt
94,Show all paragraph ids and texts for the document with name 'Welcome to NY'.,"SELECT Paragraph_ID ,  Paragraph_Text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.Document_ID  =  T2.Document_ID WHERE T2.Document_Name  =  'Welcome to NY' #### MySQL SQL QUERY SELECT Paragraph_ID ,  Paragraph_Text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.Document_ID  =  T2.Document_ID WHERE T2.Document_Name  =  'Welcome to NY' #### MySQL FIXED SQL QUERY SELECT Paragraph_ID ,  Paragraph_Text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.Document_ID  =  T2.Document_ID WHERE T2.Document_Name  =  'Welcome to NY' #### PostgreSQL SQL QUERY SELECT Paragraph_ID ,  Paragraph_Text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.Document_ID  =  T2.Document_ID WHERE T2.Document_Name  =  'Welcome to NY' #### PostgreSQL FIXED SQL QUERY SELECT Paragraph_ID ,  Paragraph_Text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.Document_ID  =  T2.Document_ID WHERE T2.Document_Name  =  'Welcome to NY'","SELECT T1.paragraph_id ,   T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.Document_Name  =  'Welcome to NY'",cre_Doc_Template_Mgt
95,How many airlines do we have?,SELECT count(*) FROM airlines,SELECT count(*) FROM AIRLINES,flight_2
96,Which regions speak Dutch or English?,SELECT DISTINCT Region FROM country WHERE Language  =  'Dutch' OR Language  =  'English',"SELECT DISTINCT T1.Region FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" OR T2.Language  =  ""Dutch""",world_1
97,What are airlines that have some flight departing from airport 'AHD'?,SELECT DISTINCT T1.Airline FROM flights AS T1 WHERE T1.SourceAirport  =  'AHD',"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""AHD""",flight_2
98,Show all template type codes and number of templates for each.,"SELECT T1.Template_Type_Code ,  count(T2.Template_ID) FROM Ref_Template_Types AS T1 JOIN Templates AS T2 ON T1.Template_Type_Code  =  T2.Template_Type_Code GROUP BY T1.Template_Type_Code","SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code",cre_Doc_Template_Mgt
99,What is the name of the shop that is hiring the largest number of employees?,SELECT T1.Name FROM shop AS T1 JOIN hiring AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Name HAVING count(*)  =  (SELECT max(count(*)) FROM hiring GROUP BY Shop_ID),SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,employee_hire_evaluation
