NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
give me the admission type and death status of subject id 16438.,"SELECT ADMISSION_TYPE ,  EXPIRE_FLAG FROM Demographic WHERE SUBJECT_ID  =  16438","SELECT DEMOGRAPHIC.""ADMISSION_TYPE"",DEMOGRAPHIC.""EXPIRE_FLAG"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""16438""","[('EMERGENCY', 1)]","[('EMERGENCY', 1)]"
find out the lab test chart time and name of the patient with patient id 2110.,"SELECT charttime ,  label FROM lab WHERE subject_id  =  2110","SELECT DEMOGRAPHIC.""NAME"",LAB.""CHARTTIME"" FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""2110""","[('2184-08-22 04:45:00', 'Bilirubin, Total'), ('2184-08-20 16:13:00', 'Basophils'), ('2184-08-20 16:13:00', 'Eosinophils'), ('2184-08-20 16:13:00', 'Hematocrit'), ('2184-08-20 16:13:00', 'Hemoglobin'), ('2184-08-20 16:13:00', 'Lymphocytes'), ('2184-08-20 16:13:00', 'MCH'), ('2184-08-20 16:13:00', 'MCHC'), ('2184-08-20 16:13:00', 'MCV'), ('2184-08-20 16:13:00', 'Monocytes'), ('2184-08-20 16:13:00', 'Neutrophils'), ('2184-08-20 16:13:00', 'Platelet Count'), ('2184-08-20 16:13:00', 'RDW'), ('2184-08-20 16:13:00', 'Red Blood Cells'), ('2184-08-20 16:13:00', 'White Blood Cells'), ('2184-08-20 16:13:00', 'Atypical Lymphocytes'), ('2184-08-20 16:13:00', 'Bands'), ('2184-08-20 16:13:00', 'Metamyelocytes'), ('2184-08-20 16:13:00', 'Myelocytes'), ('2184-08-22 04:45:00', 'Bilirubin, Direct'), ('2184-08-22 04:45:00', 'Bilirubin, Indirect')]","[('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-20 16:13:00'), ('Chandra Schulman', '2184-08-22 04:45:00'), ('Chandra Schulman', '2184-08-22 04:45:00'), ('Chandra Schulman', '2184-08-22 04:45:00')]"
specify ethnic origin of patient id 55094,SELECT ETHNICITY FROM Demographic WHERE SUBJECT_ID = 55094,"SELECT DEMOGRAPHIC.""ETHNICITY"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""55094""","[('WHITE',)]","[('WHITE',)]"
provide me with the location and type of admission for patient with patient id 55094.,"SELECT ADMISSION_LOCATION ,  ADMISSION_TYPE FROM Demographic WHERE SUBJECT_ID  =  55094","SELECT DEMOGRAPHIC.""ADMISSION_TYPE"",DEMOGRAPHIC.""ADMISSION_LOCATION"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""55094""","[('CLINIC REFERRAL/PREMATURE', 'EMERGENCY')]","[('EMERGENCY', 'CLINIC REFERRAL/PREMATURE')]"
What is the admission location and number of days of hospital stay for subject id 55094?,"SELECT ADMISSION_LOCATION ,  DAYS_STAY FROM Demographic WHERE SUBJECT_ID  =  55094","SELECT DEMOGRAPHIC.""DAYS_STAY"",DEMOGRAPHIC.""ADMISSION_LOCATION"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""55094""","[('CLINIC REFERRAL/PREMATURE', 23)]","[(23, 'CLINIC REFERRAL/PREMATURE')]"
provide the age and the health insurance that covers patient with patient id 31066.,"SELECT AGE ,  INSURANCE FROM Demographic WHERE SUBJECT_ID  =  31066","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""INSURANCE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""31066""","[(63, 'Private')]","[(63, 'Private')]"
provide the short title of diagnosis along with the time of admission for the patient with patient id 30011.,"SELECT T1.SHORT_TITLE ,  T2.ADMITTIME FROM Diagnoses AS T1 JOIN Demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.SUBJECT_ID  =  30011 ","SELECT DEMOGRAPHIC.""ADMITTIME"",DIAGNOSES.""SHORT_TITLE"" FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""30011""","[('Gstr/ddnts NOS w/o hmrhg', '2157-05-06 09:30:00'), ('Hyperlipidemia NEC/NOS', '2157-05-06 09:30:00'), ('Hypertension NOS', '2157-05-06 09:30:00'), ('Nonrupt cerebral aneurym', '2157-05-06 09:30:00'), ('Osteoporosis NOS', '2157-05-06 09:30:00'), ('Pure hypercholesterolem', '2157-05-06 09:30:00'), ('Urin tract infection NOS', '2157-05-06 09:30:00')]","[('2157-05-06 09:30:00', 'Gstr/ddnts NOS w/o hmrhg'), ('2157-05-06 09:30:00', 'Hyperlipidemia NEC/NOS'), ('2157-05-06 09:30:00', 'Hypertension NOS'), ('2157-05-06 09:30:00', 'Nonrupt cerebral aneurym'), ('2157-05-06 09:30:00', 'Osteoporosis NOS'), ('2157-05-06 09:30:00', 'Pure hypercholesterolem'), ('2157-05-06 09:30:00', 'Urin tract infection NOS')]"
Let me know the name and age of the patient with patient id 81254.,"SELECT NAME ,  AGE FROM Demographic WHERE SUBJECT_ID  =  81254","SELECT DEMOGRAPHIC.""NAME"",DEMOGRAPHIC.""AGE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""81254""","[('Paul Edwards', 51)]","[('Paul Edwards', 51)]"
get the number of days of hospital stay and discharge time for subject id 9575.,"SELECT DAYS_STAY ,  DISCHTIME FROM Demographic WHERE SUBJECT_ID  =  9575","SELECT DEMOGRAPHIC.""DAYS_STAY"",DEMOGRAPHIC.""DISCHTIME"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""9575""","[(11, '2174-03-08 15:30:00')]","[(11, '2174-03-08 15:30:00')]"
specify the birthdate and gender of patient id 17519,"SELECT DOB ,  GENDER FROM Demographic WHERE SUBJECT_ID  =  17519","SELECT DEMOGRAPHIC.""DOB"",DEMOGRAPHIC.""GENDER"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""17519""","[('2076-07-22 00:00:00', 'F')]","[('2076-07-22 00:00:00', 'F')]"
let me know the gender of religious background of patient with patient id 71798.,"SELECT GENDER ,  RELIGION FROM Demographic WHERE SUBJECT_ID  =  71798","SELECT DEMOGRAPHIC.""GENDER"",DEMOGRAPHIC.""RELIGION"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""71798""","[('M', 'JEWISH')]","[('M', 'JEWISH')]"
what is the primary disease for the patient id 92796?,SELECT ICD9_CODE FROM Diagnoses AS T1 JOIN Demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.SUBJECT_ID  =  92796 GROUP BY ICD9_CODE,"SELECT DEMOGRAPHIC.""DIAGNOSIS"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""92796""","[('2720',), ('2768',), ('4019',), ('42731',), ('5119',), ('5609',), ('56210',), ('5990',), ('7847',), ('79092',), ('V103',), ('V1072',), ('V422',), ('V4581',)]","[('BOWEL OBSTRUCTION',)]"
"for patient id 92796, specify birthdate and marital status.","SELECT DOB ,  MARITAL_STATUS FROM Demographic WHERE SUBJECT_ID  =  92796","SELECT DEMOGRAPHIC.""MARITAL_STATUS"",DEMOGRAPHIC.""DOB"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""92796""","[('2087-07-13 00:00:00', 'SINGLE')]","[('SINGLE', '2087-07-13 00:00:00')]"
what is the admission location and discharge location of subject id 4589?,"SELECT ADMISSION_LOCATION ,  DISCHARGE_LOCATION FROM Demographic WHERE SUBJECT_ID  =  4589","SELECT DEMOGRAPHIC.""ADMISSION_LOCATION"",DEMOGRAPHIC.""DISCHARGE_LOCATION"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""4589""","[('EMERGENCY ROOM ADMIT', 'REHAB/DISTINCT PART HOSP')]","[('EMERGENCY ROOM ADMIT', 'REHAB/DISTINCT PART HOSP')]"
what is the discharge location and primary disease of subject id 91588?,"SELECT DISCHARGE_LOCATION ,  ICD9_CODE FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.SUBJECT_ID  =  91588","SELECT DEMOGRAPHIC.""DISCHARGE_LOCATION"",DEMOGRAPHIC.""DIAGNOSIS"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""91588""","[('HOME HEALTH CARE', '04104'), ('HOME HEALTH CARE', '20280'), ('HOME HEALTH CARE', '23875'), ('HOME HEALTH CARE', '2449'), ('HOME HEALTH CARE', '2875'), ('HOME HEALTH CARE', '28802'), ('HOME HEALTH CARE', '34830'), ('HOME HEALTH CARE', '4239'), ('HOME HEALTH CARE', '4280'), ('HOME HEALTH CARE', '42823'), ('HOME HEALTH CARE', '4739'), ('HOME HEALTH CARE', '5990'), ('HOME HEALTH CARE', '78061'), ('HOME HEALTH CARE', '78550'), ('HOME HEALTH CARE', 'V4281')]","[('HOME HEALTH CARE', 'PNEUMONIA')]"
what is the insurance of patient id 7578?,SELECT INSURANCE FROM Demographic WHERE SUBJECT_ID  =  7578,"SELECT DEMOGRAPHIC.""INSURANCE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""7578""","[('Private',)]","[('Private',)]"
give the primary disease and procedure icd9 code for subject id 18077.,"SELECT T1.ICD9_CODE ,  T2.ICD9_CODE FROM Diagnoses AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Demographic AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T3.SUBJECT_ID  =  18077","SELECT DEMOGRAPHIC.""DIAGNOSIS"",PROCEDURES.""ICD9_CODE"" FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""18077""","[('7483', 640), ('7483', 9955), ('77089', 640), ('77089', 9955), ('V053', 640), ('V053', 9955), ('V202', 640), ('V202', 9955), ('V3000', 640), ('V3000', 9955), ('V502', 640), ('V502', 9955)]","[('NEWBORN', 640), ('NEWBORN', 9955)]"
Provide me the birth date and gender for the patient with patient id 17570.,"SELECT DOB ,  GENDER FROM Demographic WHERE SUBJECT_ID  =  17570","SELECT DEMOGRAPHIC.""DOB"",DEMOGRAPHIC.""GENDER"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""17570""","[('2114-12-30 00:00:00', 'M')]","[('2114-12-30 00:00:00', 'M')]"
tell  me the diagnoses icd9 code and type of admission for the patient with patient id 28588.,"SELECT T1.ICD9_CODE ,  T2.ADMISSION_TYPE FROM Diagnoses AS T1 JOIN Demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.SUBJECT_ID  =  28588 ","SELECT DEMOGRAPHIC.""ADMISSION_TYPE"",DIAGNOSES.""ICD9_CODE"" FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""28588""","[('2449', 'EMERGENCY'), ('25000', 'EMERGENCY'), ('2768', 'EMERGENCY'), ('2948', 'EMERGENCY'), ('30000', 'EMERGENCY'), ('311', 'EMERGENCY'), ('34590', 'EMERGENCY'), ('4019', 'EMERGENCY'), ('41401', 'EMERGENCY'), ('41519', 'EMERGENCY'), ('4260', 'EMERGENCY'), ('42731', 'EMERGENCY'), ('486', 'EMERGENCY'), ('496', 'EMERGENCY'), ('5849', 'EMERGENCY'), ('78820', 'EMERGENCY'), ('9975', 'EMERGENCY'), ('V5861', 'EMERGENCY')]","[('EMERGENCY', '2449'), ('EMERGENCY', '25000'), ('EMERGENCY', '2768'), ('EMERGENCY', '2948'), ('EMERGENCY', '30000'), ('EMERGENCY', '311'), ('EMERGENCY', '34590'), ('EMERGENCY', '4019'), ('EMERGENCY', '41401'), ('EMERGENCY', '41519'), ('EMERGENCY', '4260'), ('EMERGENCY', '42731'), ('EMERGENCY', '486'), ('EMERGENCY', '496'), ('EMERGENCY', '5849'), ('EMERGENCY', '78820'), ('EMERGENCY', '9975'), ('EMERGENCY', 'V5861')]"
specify the age and languauge of patient id 17595,"SELECT AGE ,  LANGUAGE FROM Demographic WHERE SUBJECT_ID  =  17595","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""LANGUAGE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""17595""","[(62, None)]","[(62, None)]"
tell me the primary disease and fluid lab test for patient with patient id 18372.,"SELECT T1.ICD9_CODE ,  T2.ITEMID FROM Diagnoses AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'Fluid' AND T1.HADM_ID  =  18372 ","SELECT DEMOGRAPHIC.""DIAGNOSIS"",LAB.""FLUID"" FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""18372""",[],"[('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood'), ('NEWBORN', 'Blood')]"
"for patients id 42963, specify the type of admission",SELECT ADMISSION_TYPE FROM Demographic WHERE SUBJECT_ID  =  42963,"SELECT DEMOGRAPHIC.""ADMISSION_TYPE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""42963""","[('EMERGENCY',)]","[('EMERGENCY',)]"
find the number of days of hospital stay and death status of elizabeth bateman.,"SELECT DAYS_STAY ,  DOD FROM Demographic WHERE NAME  =  'elizabeth bateman' ","SELECT DEMOGRAPHIC.""DAYS_STAY"",DEMOGRAPHIC.""EXPIRE_FLAG"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Elizabeth Bateman""",[],"[(30, 1)]"
specify the age of patient paul dunn along-with gender.,"SELECT AGE ,  GENDER FROM Demographic WHERE NAME  =  'paul dunn'","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""GENDER"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Paul Dunn""",[],"[(68, 'M')]"
name the primary disease and short title of procedure for the patient lue white.,"SELECT DISTINCT ICD9_CODE ,  SHORT_TITLE FROM Diagnoses WHERE SUBJECT_ID  =  'Lue' AND HADM_ID  =  'White' ","SELECT DEMOGRAPHIC.""DIAGNOSIS"",PROCEDURES.""SHORT_TITLE"" FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Lue White""",[],"[('STERNAL WOUND INFECTION', 'Attach pedicle graft NEC'), ('STERNAL WOUND INFECTION', 'Cont inv mec ven <96 hrs'), ('STERNAL WOUND INFECTION', 'Exc chest cage bone les')]"
name the type of drug patient evelyn lawrence is on.,SELECT DRUG_TYPE FROM Prescriptions WHERE SUBJECT_ID  =  'evelyn lawrence',"SELECT PRESCRIPTIONS.""DRUG_TYPE"" FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Evelyn Lawrence""",[],"[('BASE',), ('BASE',), ('BASE',), ('BASE',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',), ('MAIN',)]"
"Look up the birth date and ICU stay id for the patient Troy Friedman.
","SELECT DOB ,  HADM_ID FROM Demographic WHERE NAME  =  'Troy Friedman'","SELECT DEMOGRAPHIC.""DOB"",PRESCRIPTIONS.""ICUSTAY_ID"" FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Troy Friedman""","[('2152-01-19 00:00:00', 195000)]","[('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0), ('2152-01-19 00:00:00', 298013.0)]"
specify the age of patient gus marques and his duration of hospital stay. ,"SELECT AGE ,  DAYS_STAY FROM Demographic WHERE NAME  =  'gus marques'","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""DAYS_STAY"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Gus Marques""",[],"[(27, 9)]"
give the birthdate and admission time of lawrence wibbens.,"SELECT DOB ,  ADMITTIME FROM Demographic WHERE NAME  =  'Lawrence Wibbens'","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""ADMITTIME"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Lawrence Wibbens""","[('2126-10-22 00:00:00', '2182-02-08 22:31:00')]","[(56, '2182-02-08 22:31:00')]"
speciy the icd9 code and primary disease of patient robert hyden,"SELECT ICD9_CODE ,  SHORT_TITLE FROM Diagnoses AS T1 JOIN Demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.NAME  =  'robert hyden' ","SELECT DEMOGRAPHIC.""DIAGNOSIS"",DIAGNOSES.""SHORT_TITLE"" FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Robert Hyden""",[],"[('BLADDER CANCER/SDA', 'Abn react-surg proc NEC'), ('BLADDER CANCER/SDA', 'Hypertension NOS'), ('BLADDER CANCER/SDA', 'Injury femoral nerve'), ('BLADDER CANCER/SDA', 'Malig neo bladder NEC'), ('BLADDER CANCER/SDA', 'Mitral valve disorder'), ('BLADDER CANCER/SDA', 'Other postop infection')]"
what is the date of birth of Jane Dillard?,SELECT DOB FROM Demographic WHERE NAME  =  'Jane Dillard',"SELECT DEMOGRAPHIC.""DOB"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Jane Dillard""","[('2117-08-30 00:00:00',)]","[('2117-08-30 00:00:00',)]"
What is the primary disease and diagnosis short title of Michelle Skidmore?,"SELECT DISTINCT ICD9_CODE ,  SHORT_TITLE FROM Diagnoses WHERE SUBJECT_ID  =  'Michelle Skidmore'","SELECT DEMOGRAPHIC.""DIAGNOSIS"",DIAGNOSES.""SHORT_TITLE"" FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Michelle Skidmore""",[],"[('NEWBORN', 'NB obsrv suspct infect'), ('NEWBORN', 'Need prphyl vc vrl hepat'), ('NEWBORN', 'Single lb in-hosp w/o cs')]"
Specify the primary disease of patient Bryant Johnson along with the icd9 code,"SELECT T1.NAME ,  T2.ICD9_CODE FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.NAME  =  'Bryant Johnson' ","SELECT DEMOGRAPHIC.""DIAGNOSIS"",DIAGNOSES.""LONG_TITLE"" FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Bryant Johnson""","[('Bryant Johnson', '25000'), ('Bryant Johnson', '2762'), ('Bryant Johnson', '2851'), ('Bryant Johnson', '29590'), ('Bryant Johnson', '4019'), ('Bryant Johnson', '41041'), ('Bryant Johnson', '412'), ('Bryant Johnson', '41401'), ('Bryant Johnson', '4240'), ('Bryant Johnson', '4271'), ('Bryant Johnson', '42731'), ('Bryant Johnson', '42741'), ('Bryant Johnson', '4280'), ('Bryant Johnson', '49390'), ('Bryant Johnson', '5070'), ('Bryant Johnson', '51881'), ('Bryant Johnson', '5859'), ('Bryant Johnson', '78039'), ('Bryant Johnson', '78551'), ('Bryant Johnson', '99812'), ('Bryant Johnson', 'E8790')]","[('STEMI', 'Acidosis'), ('STEMI', 'Acute myocardial infarction of other inferior wall, initial episode of care'), ('STEMI', 'Acute posthemorrhagic anemia'), ('STEMI', 'Acute respiratory failure'), ('STEMI', 'Asthma, unspecified type, unspecified'), ('STEMI', 'Atrial fibrillation'), ('STEMI', 'Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure'), ('STEMI', 'Cardiogenic shock'), ('STEMI', 'Chronic kidney disease, unspecified'), ('STEMI', 'Congestive heart failure, unspecified'), ('STEMI', 'Coronary atherosclerosis of native coronary artery'), ('STEMI', 'Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled'), ('STEMI', 'Hematoma complicating a procedure'), ('STEMI', 'Mitral valve disorders'), ('STEMI', 'Old myocardial infarction'), ('STEMI', 'Other convulsions'), ('STEMI', 'Paroxysmal ventricular tachycardia'), ('STEMI', 'Pneumonitis due to inhalation of food or vomitus'), ('STEMI', 'Unspecified essential hypertension'), ('STEMI', 'Unspecified schizophrenia, unspecified'), ('STEMI', 'Ventricular fibrillation')]"
Specify icd9 code of patient Dawn Cooper along with the admission type. ,"SELECT T2.ICD9_CODE ,  T1.ADMISSION_TYPE FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.NAME  =  'Dawn Cooper' ","SELECT DEMOGRAPHIC.""ADMISSION_TYPE"",PROCEDURES.""SHORT_TITLE"" FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Dawn Cooper""","[('25011', 'EMERGENCY'), ('2764', 'EMERGENCY'), ('2767', 'EMERGENCY'), ('40391', 'EMERGENCY'), ('41071', 'EMERGENCY'), ('5845', 'EMERGENCY'), ('59080', 'EMERGENCY'), ('99681', 'EMERGENCY')]","[('EMERGENCY', 'Venous cath NEC')]"
What is the date of birth and language of Kurt Buczek?,"SELECT DOB ,  LANGUAGE FROM Demographic WHERE NAME  =  'Kurt Buczek'","SELECT DEMOGRAPHIC.""DOB"",DEMOGRAPHIC.""LANGUAGE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Kurt Buczek""","[('2060-03-07 00:00:00', 'RUSS')]","[('2060-03-07 00:00:00', 'RUSS')]"
specify the admission location of subject name edward schafer.,SELECT ADMISSION_LOCATION FROM Demographic WHERE NAME  =  'edward schafer',"SELECT DEMOGRAPHIC.""ADMISSION_LOCATION"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Edward Schafer""",[],"[('EMERGENCY ROOM ADMIT',)]"
tell me the long title of diagnosis for patient with diagnosis icd9 code 42731.,SELECT LONG_TITLE FROM Diagnoses WHERE ICD9_CODE  =  42731,"SELECT DIAGNOSES.""LONG_TITLE"" FROM DIAGNOSES WHERE DIAGNOSES.""ICD9_CODE"" = ""42731""","[('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',)]","[('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',), ('Atrial fibrillation',)]"
